date_start,date_end,Influence,Approve,Disapprove,Net
2025-06-04,2025-06-06,0.9889371,50.0,50.0,0.0
2025-05-21,2025-05-27,0.8152765,47.0,53.0,-6.0
2025-05-28,2025-05-29,0.6451518,56.0,42.0,14.0
2025-05-30,2025-06-02,0.5959077,53.0,41.0,12.0
2025-05-30,2025-06-02,0.5959077,53.0,41.0,12.0
2025-05-28,2025-05-29,0.5920052,56.0,39.6,16.4
2025-05-28,2025-05-29,0.5920052,56.0,39.6,16.4
2025-05-30,2025-06-02,0.5842479,50.0,43.0,7.0
2025-05-17,2025-05-20,0.2399201,47.0,52.0,-5.0
2025-05-23,2025-05-26,0.2344695,48.0,48.0,0.0
2025-05-23,2025-05-25,0.1881627,53.0,40.0,13.0
2025-05-14,2025-05-15,0.140362,51.0,42.0,9.0
2025-05-16,2025-05-18,0.1031464,47.0,45.0,2.0
2025-05-16,2025-05-19,0.101611,48.0,45.0,3.0
2025-05-16,2025-05-19,0.0895418,53.0,40.0,13.0
2025-05-05,2025-05-15,0.0818214,50.0,50.0,0.0
2025-05-08,2025-05-12,0.06585,53.0,45.0,8.0
2025-05-12,2025-05-13,0.0488716,47.0,47.0,0.0
2025-05-09,2025-05-12,0.0289342,50.0,46.0,4.0
2025-05-09,2025-05-11,0.0224922,51.0,44.0,7.0
2025-02-19,2025-02-24,0.0,50.0,42.0,8.0
2025-04-25,2025-04-28,0.0,48.0,46.0,2.0
2025-03-08,2025-03-10,0.0,48.1,40.3,7.799999
2025-01-23,2025-01-27,0.0,47.0,46.0,1.0
2025-01-22,2025-01-24,0.0,55.0,40.0,15.0
2025-04-21,2025-04-23,0.0,44.0,52.0,-8.0
2025-04-11,2025-04-20,0.0,49.0,51.0,-2.0
2025-01-20,2025-01-21,0.0,46.0,39.0,7.0
2025-01-31,2025-02-03,0.0,56.0,38.0,18.0
2025-02-28,2025-03-02,0.0,55.0,39.0,16.0
2025-04-22,2025-04-23,0.0,54.0,41.0,13.0
2025-03-16,2025-03-18,0.0,50.0,45.0,5.0
2025-04-04,2025-04-06,0.0,52.0,41.0,11.0
2025-04-09,2025-04-14,0.0,48.0,45.0,3.0
2025-02-21,2025-02-23,0.0,50.0,45.0,5.0
2025-05-01,2025-05-05,0.0,49.0,51.0,-2.0
2025-02-13,2025-02-17,0.0,46.0,49.0,-3.0
2025-04-21,2025-04-24,0.0,47.0,51.0,-4.0
2025-04-25,2025-04-28,0.0,46.0,47.0,-1.0
2025-03-31,2025-04-02,0.0,48.0,44.0,4.0
2025-04-17,2025-04-24,0.0,45.0,54.0,-9.0
2025-04-09,2025-04-10,0.0,51.0,42.0,9.0
2025-04-17,2025-04-21,0.0,46.0,53.0,-7.0
2025-04-16,2025-04-21,0.0,45.0,46.0,-1.0
2025-04-18,2025-04-20,0.0,52.0,42.0,10.0
2025-02-19,2025-02-20,0.0,55.0,42.0,13.0
2025-04-23,2025-04-25,0.0,49.0,51.0,-2.0
2025-02-07,2025-02-09,0.0,53.0,40.0,13.0
2025-03-20,2025-03-24,0.0,49.0,50.0,-1.0
2025-03-01,2025-03-04,0.0,53.0,40.0,13.0
2025-02-26,2025-02-28,0.0,54.0,46.0,8.0
2025-02-13,2025-02-18,0.0,47.0,44.0,3.0
2025-04-11,2025-04-13,0.0,52.0,42.0,10.0
2025-03-27,2025-03-28,0.0,53.0,47.0,6.0
2025-02-02,2025-02-04,0.0,51.0,40.0,11.0
2025-02-16,2025-02-18,0.0,51.0,43.0,8.0
2025-04-04,2025-04-09,0.0,50.0,46.0,4.0
2025-03-07,2025-03-12,0.0,52.0,47.0,5.0
2025-02-14,2025-02-16,0.0,55.0,37.0,18.0
2025-04-24,2025-04-28,0.0,46.0,49.0,-3.0
2025-02-28,2025-03-01,0.0,58.0,35.2,22.8
2025-05-02,2025-05-05,0.0,45.0,47.0,-2.0
2025-04-05,2025-04-08,0.0,50.0,44.0,6.0
2025-04-19,2025-04-22,0.0,45.0,50.0,-5.0
2025-03-18,2025-03-19,0.0,55.0,43.0,12.0
2025-01-21,2025-01-23,0.0,51.0,49.0,2.0
2025-01-24,2025-01-26,0.0,56.0,36.0,20.0
2025-04-10,2025-04-12,0.0,45.4,40.8,4.600002
2025-05-02,2025-05-04,0.0,53.0,41.0,12.0
2025-04-18,2025-04-22,0.0,46.0,53.0,-7.0
2025-03-11,2025-03-12,0.0,50.0,41.0,9.0
2025-04-10,2025-04-14,0.0,46.0,52.0,-6.0
2025-02-28,2025-03-20,0.0,48.0,49.0,-1.0
2025-03-22,2025-03-25,0.0,51.0,44.0,7.0
2025-03-06,2025-03-09,0.0,51.0,48.0,3.0
2025-03-26,2025-03-27,0.0,53.0,42.0,11.0
2025-02-10,2025-02-13,0.0,55.0,43.0,12.0
2025-03-20,2025-03-24,0.0,48.0,44.0,4.0
2025-05-01,2025-05-06,0.0,47.0,49.0,-2.0
